기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,1958525.0,1800531.0,8.8
202302,1635843.0,1530817.0,6.9
202303,2181146.0,1861769.0,17.2
202304,1761752.0,1661220.0,6.0
202305,1907789.0,1906575.0,0.1
202306,1756008.0,1711609.0,2.6
202307,1831715.0,1977431.0,-7.4
202308,1883970.0,1964143.0,-4.1
202309,2167398.0,2153699.0,0.6
202310,2118118.0,2335302.0,-9.3
202311,1672066.0,1770264.0,-5.5
202312,1774333.0,1735949.0,2.2
