기준년월,방문자수
202301,11326015.0
202302,9622995.0
202303,12185796.0
202304,10663529.0
202305,11175165.0
202306,10602078.0
202307,10878701.0
202308,10786901.0
202309,11524192.0
202310,10984511.0
202311,10178446.0
202312,10403548.0
